path	line	string	context
app/src/main/java/com/aeriotv/android/feature/settings/RemoteControlSettingsScreen.kt	383	Lose your remote control customizations?	title = "Lose your remote control customizations?",
app/src/main/java/com/aeriotv/android/feature/settings/RemoteControlSettingsScreen.kt	385	Reset to Defaults	TvMenuAction(label = "Reset to Defaults", destructive = true) {
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistDetailScreen.kt	125	Playlist	text = playlist?.name ?: "Playlist",
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistDetailScreen.kt	171	No playlist loaded	text = "No playlist loaded",
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistDetailScreen.kt	239	Remote URL	label = "Remote URL",
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistDetailScreen.kt	296	Active Playlist	label = if (isActivePlaylist) "Active Playlist" else "Set Active",
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistDetailScreen.kt	312	Test Connection	label = "Test Connection",
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistDetailScreen.kt	320	Refresh Playlist	label = "Refresh Playlist",
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistDetailScreen.kt	330	Refresh LAN Detection	label = "Refresh LAN Detection",
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistDetailScreen.kt	385	Delete Playlist	label = "Delete Playlist",
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistDetailScreen.kt	398	Delete playlist?	title = { Text("Delete playlist?") },
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistDetailScreen.kt	425	Refresh Everything?	title = { Text("Refresh Everything?") },
app/src/main/java/com/aeriotv/android/feature/settings/GeneralSettingsScreen.kt	109	Skip loading screen	title = "Skip loading screen",
app/src/main/java/com/aeriotv/android/feature/settings/GeneralSettingsScreen.kt	110	Land on Live TV instantly; data hydrates in the background	subtitle = "Land on Live TV instantly; data hydrates in the background",
app/src/main/java/com/aeriotv/android/feature/settings/GeneralSettingsScreen.kt	115	Resume last channel	title = "Resume last channel",
app/src/main/java/com/aeriotv/android/feature/settings/GeneralSettingsScreen.kt	116	Auto-start the last-played channel on launch.	subtitle = "Auto-start the last-played channel on launch.",
app/src/main/java/com/aeriotv/android/feature/settings/GeneralSettingsScreen.kt	128	Follow the device orientation. When off, 	subtitle = "Follow the device orientation. When off, " +
app/src/main/java/com/aeriotv/android/feature/settings/GeneralSettingsScreen.kt	147	Refresh in the background	title = "Refresh in the background",
app/src/main/java/com/aeriotv/android/feature/settings/AppearanceSettingsScreen.kt	437	Selected	contentDescription = "Selected",
app/src/main/java/com/aeriotv/android/feature/settings/AppearanceSettingsScreen.kt	458	APPEARANCE	text = "APPEARANCE",
app/src/main/java/com/aeriotv/android/feature/settings/AppearanceSettingsScreen.kt	515	Selected	contentDescription = "Selected",
app/src/main/java/com/aeriotv/android/feature/settings/AppearanceSettingsScreen.kt	552	Custom Accent Color	text = "Custom Accent Color",
app/src/main/java/com/aeriotv/android/feature/settings/AppearanceSettingsScreen.kt	624	LIVE	text = "LIVE",
app/src/main/java/com/aeriotv/android/feature/settings/AppearanceSettingsScreen.kt	631	Channel 042	text = "Channel 042",
app/src/main/java/com/aeriotv/android/feature/settings/AppearanceSettingsScreen.kt	637	AerioTV Sample Program	text = "AerioTV Sample Program",
app/src/main/java/com/aeriotv/android/feature/settings/AppearanceSettingsScreen.kt	693	Selected	contentDescription = "Selected",
app/src/main/java/com/aeriotv/android/feature/settings/AppearanceSettingsScreen.kt	961	Add More Categories	text = "Add More Categories",
app/src/main/java/com/aeriotv/android/feature/settings/AppearanceSettingsScreen.kt	1025	Enter 6-char hex	text = if (isValid) "Preview $sanitized" else "Enter 6-char hex",
app/src/main/java/com/aeriotv/android/feature/settings/AppearanceSettingsScreen.kt	1036	Hex color (e.g. 1AC4D8)	label = { Text("Hex color (e.g. 1AC4D8)") },
app/src/main/java/com/aeriotv/android/feature/settings/DvrSettingsScreen.kt	137	Server (Dispatcharr)	label = "Server (Dispatcharr)",
app/src/main/java/com/aeriotv/android/feature/settings/DvrSettingsScreen.kt	143	This device	label = "This device",
app/src/main/java/com/aeriotv/android/feature/settings/DvrSettingsScreen.kt	158	Start Early	label = "Start Early",
app/src/main/java/com/aeriotv/android/feature/settings/DvrSettingsScreen.kt	165	End Late	label = "End Late",
app/src/main/java/com/aeriotv/android/feature/settings/DvrSettingsScreen.kt	253	Currently saving to:	text = "Currently saving to:",
app/src/main/java/com/aeriotv/android/feature/settings/DvrSettingsScreen.kt	271	Choose Folder	text = "Choose Folder",
app/src/main/java/com/aeriotv/android/feature/settings/DvrSettingsScreen.kt	295	Reset to Default	text = "Reset to Default",
app/src/main/java/com/aeriotv/android/feature/settings/DvrSettingsScreen.kt	311	Keep device awake during recording	title = "Keep device awake during recording",
app/src/main/java/com/aeriotv/android/feature/settings/DvrSettingsScreen.kt	312	Recommended for long local recordings.	subtitle = "Recommended for long local recordings.",
app/src/main/java/com/aeriotv/android/feature/settings/DvrSettingsScreen.kt	371	Selected	contentDescription = "Selected",
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistsScreen.kt	133	Add playlist	contentDescription = "Add playlist",
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistsScreen.kt	151	No saved playlists. Select Add above to add one.	text = if (isTv) "No saved playlists. Select Add above to add one."
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistsScreen.kt	226	Drag to reorder	contentDescription = "Drag to reorder",
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistsScreen.kt	274	Delete playlist?	title = { Text("Delete playlist?") },
app/src/main/java/com/aeriotv/android/feature/settings/PlaylistsScreen.kt	341	${playlist.channelCount} channels • ${playlist.sourceType}	text = "${playlist.channelCount} channels • ${playlist.sourceType}",
app/src/main/java/com/aeriotv/android/feature/settings/LogViewerScreen.kt	137	Log file is empty	text = "Log file is empty",
app/src/main/java/com/aeriotv/android/feature/settings/LogViewerScreen.kt	144	Enable Debug Logging on the previous screen and reproduce 	text = "Enable Debug Logging on the previous screen and reproduce " +
app/src/main/java/com/aeriotv/android/feature/settings/HexPickerDialog.kt	72	${bucket.displayName} Color	title = { Text("${bucket.displayName} Color") },
app/src/main/java/com/aeriotv/android/feature/settings/HexPickerDialog.kt	90	Default ${bucket.defaultHex}	text = "Default ${bucket.defaultHex}",
app/src/main/java/com/aeriotv/android/feature/settings/HexPickerDialog.kt	95	Enter 6-char hex	text = if (isValid) "Preview $sanitized" else "Enter 6-char hex",
app/src/main/java/com/aeriotv/android/feature/settings/HexPickerDialog.kt	108	Hex color (e.g. ${bucket.defaultHex})	label = { Text("Hex color (e.g. ${bucket.defaultHex})") },
app/src/main/java/com/aeriotv/android/feature/settings/MoviesAndTvShowsSettingsScreen.kt	106	Live TV channels refresh on every launch. Movies and TV Shows open from the saved library and re-sweep the provider on this schedule. Pull down on either tab to refresh right away.	text = "Live TV channels refresh on every launch. Movies and TV Shows open from the saved library and re-sweep the provider on this schedule. Pull down on either tab to refresh right away.",
app/src/main/java/com/aeriotv/android/feature/settings/MoviesAndTvShowsSettingsScreen.kt	122	When a poster is missing, look it up on TMDB. Needs the free API key below.	subtitle = "When a poster is missing, look it up on TMDB. Needs the free API key below.",
app/src/main/java/com/aeriotv/android/feature/settings/MoviesAndTvShowsSettingsScreen.kt	140	TMDB API key (v3) or read token (v4)	label = { Text("TMDB API key (v3) or read token (v4)") },
app/src/main/java/com/aeriotv/android/feature/settings/MoviesAndTvShowsSettingsScreen.kt	203	Movies & Series	label = "Movies & Series",
app/src/main/java/com/aeriotv/android/feature/settings/EditPlaylistScreen.kt	242	Name	label = { Text("Name") },
app/src/main/java/com/aeriotv/android/feature/settings/EditPlaylistScreen.kt	273	Type: ${sourceType.displayName}. To switch types, use Change Playlist.	text = "Type: ${sourceType.displayName}. To switch types, use Change Playlist.",
app/src/main/java/com/aeriotv/android/feature/settings/EditPlaylistScreen.kt	352	Username	label = { Text("Username") },
app/src/main/java/com/aeriotv/android/feature/settings/EditPlaylistScreen.kt	363	Password	label = { Text("Password") },
app/src/main/java/com/aeriotv/android/feature/settings/EditPlaylistScreen.kt	408	Username	label = { Text("Username") },
app/src/main/java/com/aeriotv/android/feature/settings/EditPlaylistScreen.kt	420	Password	label = { Text("Password") },
app/src/main/java/com/aeriotv/android/feature/settings/EditPlaylistScreen.kt	468	Fetch On Demand from this playlist	text = "Fetch On Demand from this playlist",
app/src/main/java/com/aeriotv/android/feature/settings/EditPlaylistScreen.kt	596	Save Changes	label = "Save Changes",
app/src/main/java/com/aeriotv/android/feature/settings/EditPlaylistScreen.kt	600	Name and Server URL are required	subtitle = if (canSave) null else "Name and Server URL are required",
app/src/main/java/com/aeriotv/android/feature/settings/EditPlaylistScreen.kt	651	Selected	contentDescription = "Selected",
app/src/main/java/com/aeriotv/android/feature/settings/LiveTvSettingsScreen.kt	95	Live-TV	SettingsDetailTopBar(title = "Live-TV", onBack = onBack)
